"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2005","CIN","73","89","31","654","163","1433.0","6.00","3.09","1.38",".309","69.7%","41.3%","12.3%","","5.18","","4.87","4.60","7.0"
"2015","ATL","67","95","44","694","162","1425.1","7.25","3.47","1.07",".305","71.4%","43.4%","11.3%","93.6","4.41","","4.34","4.36","7.0"
"2019","BAL","54","108","27","695","162","1443.0","7.78","3.50","1.90",".295","68.5%","40.5%","17.4%","92.4","5.67","","5.56","5.23","6.9"
"2012","TOR","73","89","29","657","162","1443.2","7.12","3.58","1.27",".291","72.0%","46.5%","14.1%","92.2","4.64","","4.66","4.30","6.9"
"2021","MIN","73","89","42","691","162","1419.1","8.35","3.07","1.52",".290","68.9%","41.0%","15.0%","92.2","4.83","","4.66","4.44","6.8"
"2021","WSN","65","97","36","731","162","1394.1","8.69","3.54","1.59",".289","71.0%","41.0%","16.0%","93.3","4.82","","4.87","4.53","6.8"
"2009","BAL","64","98","31","646","162","1429.0","5.88","3.44","1.37",".307","70.3%","41.7%","11.6%","92.1","5.16","","5.03","4.78","6.8"
"2003","MIL","68","94","44","622","162","1452.0","6.41","3.56","1.36",".300","70.5%","40.9%","12.5%","","5.03","","4.88","4.68","6.8"
"2001","MIL","68","94","28","651","162","1436.1","6.62","4.18","1.23",".289","72.3%","","","","4.65","","4.90","","6.7"
"2018","KCR","58","104","33","645","162","1432.0","7.27","3.45","1.29",".309","70.6%","43.1%","13.0%","93.0","4.95","","4.66","4.63","6.7"
"2000","KCR","77","85","29","491","162","1439.1","5.80","4.33","1.49",".296","70.0%","","","","5.48","","5.54","","6.7"
"2001","DET","66","96","34","553","162","1429.1","5.41","3.48","1.13",".307","68.8%","","","","5.01","","4.80","","6.7"
"2003","CIN","69","93","38","637","162","1446.1","5.80","3.67","1.30",".295","69.1%","42.6%","12.9%","","5.09","","4.94","4.70","6.6"
"2020","CHW","35","25","13","284","60","527.0","8.93","3.71","1.21",".269","75.1%","44.2%","14.5%","94.5","3.81","","4.32","4.36","6.6"
"2002","COL","73","89","43","668","162","1426.2","5.80","3.67","1.42",".292","69.1%","43.6%","13.9%","","5.21","","5.08","4.61","6.5"
"2001","TBD","62","100","30","532","162","1423.2","6.51","3.60","1.31",".296","68.0%","","","","4.96","","4.85","","6.5"
"2020","BAL","25","35","11","267","60","518.2","8.45","3.33","1.37",".282","69.7%","42.6%","14.6%","92.8","4.51","","4.60","4.63","6.5"
"2020","CHC","34","26","16","248","60","518.1","9.08","3.16","1.28",".278","75.0%","45.0%","16.0%","92.8","3.99","","4.18","4.04","6.5"
"2012","BOS","69","93","35","651","162","1443.0","7.33","3.30","1.19",".296","69.6%","46.4%","13.2%","93.3","4.72","","4.41","4.16","6.4"
"2010","PIT","57","105","31","679","162","1411.2","6.54","3.43","1.06",".311","67.4%","44.0%","10.0%","92.5","5.00","","4.45","4.35","6.4"
"2020","HOU","29","31","16","253","60","524.0","9.03","3.73","1.20",".288","71.5%","44.2%","14.0%","92.9","4.31","","4.33","4.43","6.3"
"2011","CIN","79","83","39","663","162","1467.2","6.82","3.31","1.13",".282","73.7%","44.8%","11.5%","92.6","4.16","","4.37","4.11","6.2"
"2005","KCR","56","106","25","605","162","1413.1","5.88","3.69","1.13",".317","66.5%","44.4%","10.7%","","5.56","","4.74","4.72","6.1"
"2019","COL","71","91","28","752","162","1448.2","7.85","3.66","1.68",".308","68.5%","46.1%","19.0%","94.1","5.58","","5.23","4.75","6.0"
"2012","MIN","66","96","35","661","162","1438.2","5.90","2.91","1.24",".294","68.8%","45.7%","12.7%","91.8","4.77","","4.66","4.46","5.9"
"2020","PHI","28","32","11","249","60","497.0","9.63","3.35","1.45",".343","69.4%","46.6%","18.6%","94.1","5.20","","4.43","4.00","5.8"
"2019","MIA","57","105","27","701","162","1444.1","8.59","3.83","1.47",".281","72.1%","38.3%","14.2%","93.5","4.74","","4.89","5.06","5.8"
"2001","TEX","73","89","37","572","162","1438.1","5.95","3.73","1.39",".312","67.4%","","","","5.71","","5.11","","5.8"
"2021","PIT","61","101","25","745","162","1396.1","8.46","3.91","1.37",".302","70.1%","40.9%","13.8%","93.4","5.08","","4.74","4.70","5.7"
"2020","NYY","33","27","14","234","60","500.2","9.49","3.02","1.49",".280","71.1%","42.9%","16.0%","94.4","4.35","","4.39","4.24","5.6"
"2011","HOU","56","106","25","665","162","1435.0","7.47","3.51","1.18",".301","70.8%","43.2%","12.0%","92.1","4.51","","4.35","4.02","5.6"
"2004","CIN","76","86","47","659","162","1443.2","6.18","3.57","1.47",".296","69.5%","42.5%","13.7%","","5.21","","5.10","4.71","5.6"
"2017","MIA","77","85","34","742","162","1442.2","7.50","3.91","1.20",".298","70.7%","42.5%","12.2%","92.8","4.82","","4.69","4.90","5.5"
"2019","SEA","68","94","34","700","162","1439.1","7.75","3.16","1.63",".291","68.4%","43.4%","16.4%","92.1","5.00","","5.00","4.85","5.4"
"2020","LAA","26","34","12","288","60","525.1","8.96","3.41","1.40",".287","65.5%","39.4%","14.0%","92.7","5.09","","4.49","4.60","5.4"
"2021","TEX","60","102","31","669","162","1424.1","7.83","3.24","1.47",".288","70.3%","42.4%","14.9%","93.6","4.80","","4.76","4.57","5.4"
"2017","CIN","68","94","33","666","162","1430.0","8.18","3.97","1.56",".296","71.1%","44.6%","16.8%","93.5","5.17","","5.08","4.66","5.3"
"2013","MIL","74","88","40","663","162","1442.2","7.02","2.91","1.09",".286","73.5%","44.4%","11.9%","93.2","3.84","","4.12","3.94","5.3"
"2009","MIL","80","82","44","674","162","1435.0","6.92","3.81","1.30",".295","71.9%","42.6%","12.0%","90.9","4.84","","4.84","4.54","5.2"
"2020","NYM","26","34","11","257","60","513.1","10.06","3.84","1.42",".316","69.9%","41.7%","15.8%","94.6","5.01","","4.46","4.33","5.0"
"2005","TBD","67","95","43","563","162","1421.2","6.01","3.89","1.23",".302","66.4%","39.3%","10.6%","","5.40","","4.89","4.90","4.9"
"2009","WSN","59","103","33","694","162","1424.1","5.76","3.97","1.09",".296","67.9%","44.4%","10.3%","91.2","5.02","","4.82","4.80","4.9"
"2011","BAL","69","93","32","640","162","1446.2","6.49","3.33","1.31",".302","69.5%","43.1%","12.1%","92.1","4.92","","4.67","4.29","4.9"
"2000","ANA","82","80","46","603","162","1448.0","5.26","4.11","1.42",".282","71.3%","","","","5.02","","5.46","","4.9"
"2002","MIL","56","106","32","608","162","1432.1","6.45","4.18","1.25",".289","71.7%","42.1%","12.4%","","4.76","","4.86","4.62","4.8"
"2006","WSN","71","91","32","679","162","1436.1","6.02","3.66","1.21",".292","69.0%","39.6%","10.2%","","5.03","","4.97","5.08","4.6"
"2012","CHC","61","101","28","655","162","1413.2","7.18","3.65","1.11",".291","71.3%","43.2%","11.8%","92.5","4.51","","4.46","4.39","4.4"
"2007","WSN","73","89","46","750","162","1446.2","5.79","3.61","1.16",".286","72.0%","39.7%","9.6%","89.7","4.58","","4.92","4.93","4.4"
"2017","CHW","67","95","25","682","162","1421.2","7.55","4.00","1.53",".281","72.4%","41.9%","14.7%","93.2","4.78","","5.17","5.01","4.4"
"2020","KCR","26","34","19","292","60","517.0","9.00","3.67","1.32",".303","73.9%","44.4%","15.0%","93.9","4.30","","4.50","4.47","4.1"
"2020","ATL","35","25","13","288","60","524.1","8.69","3.78","1.18",".294","70.6%","43.7%","13.2%","92.8","4.46","","4.42","4.63","4.0"
"2020","TOR","32","28","17","286","60","524.2","8.90","4.29","1.39",".302","70.3%","43.1%","14.9%","92.9","4.63","","4.73","4.72","4.0"
"2003","SDP","64","98","31","635","162","1431.1","6.86","3.84","1.31",".289","70.7%","43.9%","13.7%","","4.87","","4.81","4.47","3.9"
"2020","SFG","29","31","13","296","60","517.2","8.48","3.65","1.20",".281","67.8%","38.8%","12.1%","93.1","4.64","","4.45","4.84","3.8"
"2021","CHC","71","91","40","761","162","1412.2","8.65","3.80","1.50",".294","70.9%","44.8%","17.2%","93.0","4.88","","4.88","4.43","3.8"
"2020","STL","30","28","13","234","58","473.0","8.83","3.88","1.31",".250","74.0%","44.4%","15.4%","93.3","3.92","","4.58","4.52","3.7"
"2022","OAK","60","102","34","692","162","1426.1","7.59","3.17","1.23",".289","70.7%","41.4%","11.5%","92.9","4.54","","4.41","4.39","3.6"
"2020","COL","26","34","16","249","60","526.1","6.72","3.51","1.42",".307","66.5%","44.5%","15.0%","94.3","5.59","","5.14","5.13","3.5"
"2008","BAL","68","93","35","653","161","1422.0","5.84","4.35","1.16",".298","70.1%","44.6%","10.7%","91.7","5.15","","5.14","5.05","3.4"
"2021","ARI","52","110","22","727","162","1417.1","7.86","3.52","1.47",".299","68.2%","40.2%","13.8%","92.2","5.15","","4.88","4.85","3.3"
"2020","SEA","27","33","15","249","60","516.2","8.17","4.01","1.38",".281","69.9%","40.3%","13.5%","92.3","5.03","","4.91","5.11","3.2"
"2003","TBD","63","99","30","534","162","1436.2","5.49","4.00","1.23",".278","69.8%","40.1%","11.1%","","4.93","","5.12","5.13","3.1"
"2020","WSN","26","34","12","262","60","503.2","9.08","3.86","1.68",".317","74.1%","37.9%","16.3%","92.8","5.09","","5.02","4.80","2.9"
"2020","TEX","22","38","10","264","60","516.2","8.52","4.11","1.41",".277","68.6%","40.6%","14.0%","93.2","5.02","","4.88","5.00","2.9"
"2020","PIT","19","41","6","269","60","513.0","9.40","4.37","1.40",".280","70.2%","43.4%","16.2%","93.2","4.68","","4.80","4.63","2.9"
"2003","DET","43","119","27","613","162","1438.2","4.78","3.48","1.22",".296","66.5%","42.5%","11.6%","","5.32","","5.01","4.95","2.9"
"2002","TBD","55","106","25","467","161","1440.1","5.78","3.87","1.34",".296","68.8%","38.6%","11.7%","","5.29","","5.11","4.95","2.7"
"2010","ARI","65","97","35","616","162","1432.0","6.72","3.44","1.32",".296","70.1%","41.8%","12.0%","91.5","4.81","","4.76","4.35","2.7"
"2020","MIA","31","29","18","275","60","504.0","8.05","4.04","1.46",".297","70.6%","45.2%","15.7%","92.5","4.86","","5.02","4.90","2.4"
"2018","MIA","63","98","30","707","161","1442.0","7.80","3.78","1.20",".290","69.9%","40.9%","12.1%","92.9","4.76","","4.57","4.65","2.4"
"2013","HOU","51","111","32","610","162","1440.0","6.78","3.85","1.19",".303","70.0%","43.9%","11.8%","93.0","4.79","","4.67","4.48","2.2"
"2020","ARI","25","35","13","260","60","518.1","9.10","4.08","1.61",".294","74.0%","38.4%","15.7%","93.3","4.84","","5.00","4.87","1.1"
"2022","WSN","55","107","28","750","162","1411.2","7.78","3.56","1.56",".297","70.8%","41.5%","14.4%","93.7","5.00","","4.98","4.51","1.0"
"2016","CIN","68","94","28","646","162","1442.0","7.75","3.97","1.61",".290","72.8%","41.6%","15.9%","93.0","4.91","","5.24","4.79","1.0"
"2020","DET","23","35","11","276","58","492.1","8.12","3.51","1.66",".297","68.7%","42.2%","17.1%","93.4","5.63","","5.17","4.85","0.9"
"2006","KCR","62","100","35","635","162","1426.1","5.70","4.02","1.34",".311","67.1%","42.2%","12.1%","","5.67","","5.29","5.09","0.5"
"2020","BOS","24","36","14","292","60","524.0","9.22","4.33","1.68",".332","70.8%","42.9%","18.9%","94.0","5.58","","5.19","4.67","0.1"
